SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
MFSL,EQ,323,330.75,310.55,327.1,325.2,311.85,71492,22907438.1,26-FEB-2016,5780,INE180A01020,
MFSL,EQ,323.85,343.6,315.6,336.4,336.5,327.1,80703,26302062.65,29-FEB-2016,3376,INE180A01020,
MFSL,EQ,336.5,339.9,324,325.15,325,336.4,61922,20394430.2,01-MAR-2016,2184,INE180A01020,
MFSL,EQ,331,344.95,327,329.2,328.1,325.15,111006,37124892,02-MAR-2016,5154,INE180A01020,
MFSL,EQ,332,332.05,320.3,321.7,321.5,329.2,81493,26304332.65,03-MAR-2016,3295,INE180A01020,
MFSL,EQ,323,332,320,321.4,322,321.7,33074,10708292.3,04-MAR-2016,2780,INE180A01020,
MFSL,EQ,322,328.9,311.5,314.25,315,321.4,66713,21184142.6,08-MAR-2016,7145,INE180A01020,
MFSL,EQ,317.25,327,311,315.25,315.75,314.25,61955,19453142.1,09-MAR-2016,3088,INE180A01020,
MFSL,EQ,320.85,337,312.25,330.45,335,315.25,147885,47628809.9,10-MAR-2016,5914,INE180A01020,
MFSL,EQ,331.95,337,327.85,334.25,335.25,330.45,135207,44695876.6,11-MAR-2016,2144,INE180A01020,
MFSL,EQ,331.1,341.65,331.1,337.65,335.95,334.25,74412,25086106.6,14-MAR-2016,10106,INE180A01020,
MFSL,EQ,335.05,348,332.4,344.6,344.15,337.65,77763,26484629.95,15-MAR-2016,1364,INE180A01020,
MFSL,EQ,335,344.9,335,340.15,340,344.6,157433,53519087.1,16-MAR-2016,4087,INE180A01020,
MFSL,EQ,343.95,346.6,334.6,339.2,340,340.15,83329,28288349.25,17-MAR-2016,3563,INE180A01020,
MFSL,EQ,333.3,340,322.4,333.05,334,339.2,86238,28527073.45,18-MAR-2016,5040,INE180A01020,
MFSL,EQ,339.95,344,327.95,329.3,327.95,333.05,92930,31255539.75,21-MAR-2016,6494,INE180A01020,
MFSL,EQ,335,341.75,327,329.05,328,329.3,126408,42064754.2,22-MAR-2016,5363,INE180A01020,
MFSL,EQ,330.35,334.4,325.1,327.75,326,329.05,64233,21184349.8,23-MAR-2016,1857,INE180A01020,
MFSL,EQ,329.8,332.5,315.55,319.8,318.25,327.75,187764,60069415.9,28-MAR-2016,5568,INE180A01020,
MFSL,EQ,324.95,327.6,316.3,320.8,318.35,319.8,203686,65803872,29-MAR-2016,6137,INE180A01020,
MFSL,EQ,319,328.45,319,324.65,321.7,320.8,191636,62386865.3,30-MAR-2016,4744,INE180A01020,
MFSL,EQ,324.8,349.4,322,344.05,341.5,324.65,170840,57422351.4,31-MAR-2016,12000,INE180A01020,
MFSL,EQ,341.8,347.8,335.95,344.9,345,344.05,62766,21623725.8,01-APR-2016,4120,INE180A01020,
MFSL,EQ,346,346,335.5,337.8,338,344.9,229571,77646720.3,04-APR-2016,2047,INE180A01020,
MFSL,EQ,337.5,343.5,336,340.15,339,337.8,43018,14628578.85,05-APR-2016,3399,INE180A01020,
MFSL,EQ,343.7,349,339.2,345.3,347.8,340.15,31498,10826928.6,06-APR-2016,1892,INE180A01020,
MFSL,EQ,344.1,356.95,341.45,348.5,347.95,345.3,587947,203646552.55,07-APR-2016,3348,INE180A01020,
MFSL,EQ,349.1,351.9,341.4,341.75,342.45,348.5,36918,12706197.95,08-APR-2016,1451,INE180A01020,
MFSL,EQ,341.5,348,333,345.8,345.5,341.75,33191,11377856,11-APR-2016,1363,INE180A01020,
MFSL,EQ,346,357,345.6,350.7,350.6,345.8,114227,40335974.7,12-APR-2016,8298,INE180A01020,
MFSL,EQ,350.75,363.8,350,353.1,353,350.7,352685,125165757.35,13-APR-2016,10590,INE180A01020,
MFSL,EQ,343,364.4,343,357.85,355.25,353.1,106030,38144140.75,18-APR-2016,10107,INE180A01020,
MFSL,EQ,360.2,372,354,359.7,356,357.85,103582,37473636.05,20-APR-2016,5629,INE180A01020,
MFSL,EQ,359.95,366,352.1,360.6,358,359.7,70017,25008363.75,21-APR-2016,3762,INE180A01020,
MFSL,EQ,362,374.25,358,372.35,373.8,360.6,90731,33385455,22-APR-2016,4896,INE180A01020,
MFSL,EQ,372.35,375.05,367,373.45,370,372.35,151456,56560314.25,25-APR-2016,2176,INE180A01020,
MFSL,EQ,375,379,370.1,374.7,370.15,373.45,132378,49576376.05,26-APR-2016,3535,INE180A01020,
MFSL,EQ,373.2,374.95,364,367.75,367.75,374.7,26019,9613702.8,27-APR-2016,1631,INE180A01020,
MFSL,EQ,365.05,368.7,344.05,349.05,345.65,367.75,253180,90935309.7,28-APR-2016,4744,INE180A01020,
MFSL,EQ,354.65,367,350.45,365.2,363.2,349.05,220550,78247232.45,29-APR-2016,3356,INE180A01020,
MFSL,EQ,364.95,374.5,358.25,372.75,369.05,365.2,131924,48345439.25,02-MAY-2016,2604,INE180A01020,
MFSL,EQ,371.2,376.7,368,370,370,372.75,69278,25648586.85,03-MAY-2016,901,INE180A01020,
MFSL,EQ,362.55,372,361,367.1,363.2,370,81742,30134532.2,04-MAY-2016,5360,INE180A01020,
MFSL,EQ,368.7,368.7,355.95,360.9,362,367.1,164701,59493779.15,05-MAY-2016,4230,INE180A01020,
MFSL,EQ,360.95,370,356.4,362.3,362.15,360.9,85194,30944160.5,06-MAY-2016,3423,INE180A01020,
MFSL,EQ,367.85,370.35,361.75,369.45,368.05,362.3,113391,41629000.95,09-MAY-2016,4613,INE180A01020,
MFSL,EQ,367.75,370.1,359.45,360.85,360,369.45,105703,38344538,10-MAY-2016,1262,INE180A01020,
MFSL,EQ,361,365,358.05,362.8,363,360.85,150584,54604070.45,11-MAY-2016,4146,INE180A01020,
MFSL,EQ,364.95,370.05,364,369.95,370,362.8,176544,64856084.5,12-MAY-2016,4608,INE180A01020,
MFSL,EQ,369.95,377.4,365.3,373.75,374,369.95,209678,77631619.4,13-MAY-2016,8320,INE180A01020,
MFSL,EQ,375.85,390.85,373.25,383,381.5,373.75,85947,32941577.1,16-MAY-2016,4320,INE180A01020,
MFSL,EQ,383.9,386,373.3,379.35,374.5,383,63931,24281476.8,17-MAY-2016,3098,INE180A01020,
MFSL,EQ,378.85,380.5,374,379.9,379,379.35,33835,12818619.95,18-MAY-2016,2394,INE180A01020,
MFSL,EQ,382.3,382.3,371.95,377.4,377,379.9,63214,23727957.4,19-MAY-2016,4121,INE180A01020,
MFSL,EQ,370.25,374.05,359.95,368.15,369.85,377.4,190382,70347447.05,20-MAY-2016,3266,INE180A01020,
MFSL,EQ,374.65,377,370.4,372.55,374,368.15,173903,64784806.8,23-MAY-2016,6450,INE180A01020,
MFSL,EQ,371.95,384.45,370.6,380.45,380.65,372.55,49299,18555569.65,24-MAY-2016,2036,INE180A01020,
MFSL,EQ,383.85,385.55,374.8,382.1,380.2,380.45,47073,17893994.7,25-MAY-2016,2791,INE180A01020,
MFSL,EQ,377.55,379.95,365,366.3,365.05,382.1,261917,96530535.5,26-MAY-2016,12628,INE180A01020,
MFSL,EQ,368.95,382.8,365.25,380.45,381.8,366.3,136266,50955296.75,27-MAY-2016,7803,INE180A01020,
MFSL,EQ,379.25,382.95,375,381.95,382,380.45,231335,88297042.95,30-MAY-2016,4282,INE180A01020,
MFSL,EQ,378,383.5,345,356.05,363,381.95,873463,316302118.55,31-MAY-2016,19650,INE180A01020,
MFSL,EQ,369.5,376,359.15,363.1,364,356.05,359556,132967026.25,01-JUN-2016,12334,INE180A01020,
MFSL,EQ,366.8,373,345,369.9,369.1,363.1,135859,50027620.8,02-JUN-2016,5593,INE180A01020,
MFSL,EQ,363.55,382.8,363.55,380.6,381.25,369.9,210270,79607741.05,03-JUN-2016,18403,INE180A01020,
MFSL,EQ,375,407,371.25,399.2,397.5,380.6,483055,192292946.6,06-JUN-2016,16308,INE180A01020,
MFSL,EQ,399,404.95,391.7,398.8,402.45,399.2,480473,191579819.05,07-JUN-2016,21748,INE180A01020,
MFSL,EQ,404.95,448,403.75,424.6,423.05,398.8,895813,384088407.05,08-JUN-2016,26545,INE180A01020,
MFSL,EQ,421,442.5,415,419.75,422,424.6,449065,192996088.9,09-JUN-2016,22421,INE180A01020,
MFSL,EQ,425.95,454,425.7,442.25,449.05,419.75,937363,411351006.35,10-JUN-2016,18486,INE180A01020,
MFSL,EQ,440,467,429.95,434.2,432.5,442.25,967757,428792663.85,13-JUN-2016,19664,INE180A01020,
MFSL,EQ,435.8,451,429.75,433.05,434.6,434.2,316501,138871143.9,14-JUN-2016,7518,INE180A01020,
MFSL,EQ,436.95,443.35,429.25,434.75,434.9,433.05,458141,199219984.65,15-JUN-2016,4679,INE180A01020,
MFSL,EQ,435.3,454,425.75,428.75,428.7,434.75,1161468,507632231.9,16-JUN-2016,21688,INE180A01020,
MFSL,EQ,460,514.5,456,473.85,472.7,428.75,8217917,4023783378.8,17-JUN-2016,128807,INE180A01020,
MFSL,EQ,473.75,530,471.2,500.15,502,473.85,7609858,3869382614.4,20-JUN-2016,118922,INE180A01020,
MFSL,EQ,506,515,486.7,504.85,505,500.15,2182451,1100331216.3,21-JUN-2016,45483,INE180A01020,
MFSL,EQ,509.9,513,498,504.2,501.05,504.85,2467264,1247783641.75,22-JUN-2016,30599,INE180A01020,
MFSL,EQ,503.05,508.7,496.1,506.3,507.95,504.2,1546484,778339695.95,23-JUN-2016,26999,INE180A01020,
MFSL,EQ,480,540.65,475.05,535.25,532,506.3,3732927,1927166726.4,24-JUN-2016,50773,INE180A01020,
MFSL,EQ,535,564.7,523,552.05,550,535.25,2478506,1367078014.6,27-JUN-2016,63162,INE180A01020,
MFSL,EQ,545.5,553.7,535,538.9,537,552.05,980407,531571208.8,28-JUN-2016,28518,INE180A01020,
MFSL,EQ,543.5,547.4,528.2,540.5,540.25,538.9,761996,410954056.8,29-JUN-2016,19216,INE180A01020,
MFSL,EQ,542,544.9,528.65,532.75,530,540.5,328768,175970148.95,30-JUN-2016,10121,INE180A01020,
MFSL,EQ,533,538,523.65,529.15,528.1,532.75,428096,226481487.9,01-JUL-2016,7846,INE180A01020,
MFSL,EQ,533.8,535.75,522.25,528.75,527.5,529.15,394206,207751506.45,04-JUL-2016,10109,INE180A01020,
MFSL,EQ,527.75,530.95,423,508.5,512,528.75,1351993,684444472.3,05-JUL-2016,21581,INE180A01020,
MFSL,EQ,506.4,520.9,492.6,498.1,496,508.5,751801,383339428.75,07-JUL-2016,14734,INE180A01020,
MFSL,EQ,502.6,518,495.2,504.4,505.7,498.1,781963,399414532.55,08-JUL-2016,15977,INE180A01020,
MFSL,EQ,513.3,524.1,501.5,505,503,504.4,717670,369532223.55,11-JUL-2016,24548,INE180A01020,
MFSL,EQ,507.5,515,505.15,507.85,506,505,575898,293809366.4,12-JUL-2016,14154,INE180A01020,
MFSL,EQ,511.4,523,500.2,506,518.5,507.85,2201759,1114045390.85,13-JUL-2016,24683,INE180A01020,
MFSL,EQ,516.1,524.45,500,504.6,506,506,1224820,620490424.55,14-JUL-2016,25897,INE180A01020,
MFSL,EQ,507,533.95,502.25,513.4,514.5,504.6,1482145,768579814.2,15-JUL-2016,37085,INE180A01020,
MFSL,EQ,513,520,502,505.65,504,513.4,431694,221695866.6,18-JUL-2016,9669,INE180A01020,
MFSL,EQ,509.2,520,502,511.45,511.2,505.65,2066489,1049873963,19-JUL-2016,22688,INE180A01020,
MFSL,EQ,511,565,509,559.95,562.15,511.45,3237726,1776091824,20-JUL-2016,60490,INE180A01020,
MFSL,EQ,566.7,592.4,548,555.9,557,559.95,2071009,1185033842.8,21-JUL-2016,50299,INE180A01020,
MFSL,EQ,557.9,578.4,551,555.25,557.2,555.9,841198,473423381.2,22-JUL-2016,30288,INE180A01020,
MFSL,EQ,558,601,544,584.85,580,555.25,1509478,871930065.1,25-JUL-2016,30184,INE180A01020,
