INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,698.25,0,0,0,0,27-MAR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,597.35,0,0,0,0,30-MAR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,609.9,0,0,0,0,31-MAR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,602.9,0,0,0,0,01-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,614.45,0,0,0,0,03-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,708.45,0,0,0,0,07-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,694,0,0,0,0,08-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,678.45,0,0,0,0,09-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,667.45,0,0,0,0,13-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,661.25,0,0,0,0,15-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,689.8,0,0,0,0,16-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,689.8,0,0,0,0,17-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,685.3,0,0,0,0,20-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,691.9,0,0,0,0,21-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,673.05,0,0,0,0,22-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,682.35,0,0,0,0,23-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,672.6,0,0,0,0,24-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,665.15,0,0,0,0,27-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,667.6,0,0,0,0,28-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,667.3,0,0,0,0,29-APR-2020,
FUTSTK,GODREJPROP,25-Jun-2020,0,XX,0,0,0,706.9,682.4,0,0,0,0,30-APR-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,625.1,0,0,0,0,04-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,618.65,0,0,0,0,05-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,610.4,0,0,0,0,06-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,607.75,0,0,0,0,07-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,624.25,0,0,0,0,08-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,627.25,0,0,0,0,11-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,627.5,0,0,0,0,12-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,666.65,0,0,0,0,13-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,657.5,0,0,0,0,14-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,630.15,0,0,0,0,15-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,686.3,604,0,0,0,0,18-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,595.8,595.8,595.8,595.8,590,1,3.87,650,650,19-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,595.8,602,0,0,650,0,20-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,608.5,608.5,608.5,608.5,606.5,1,3.95,650,0,21-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,608.5,607.35,0,0,650,0,22-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,608.5,606.95,0,0,650,0,26-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,621,621,621,621,642.25,1,4.03,650,0,27-MAY-2020,
FUTSTK,GODREJPROP,30-Jul-2020,0,XX,0,0,0,621,658.7,0,0,650,0,28-MAY-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,695.65,0,0,0,0,29-MAY-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,722.95,0,0,0,0,01-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,774.25,0,0,0,0,02-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,840.6,0,0,0,0,03-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,798,0,0,0,0,04-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,814.85,0,0,0,0,05-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,822.95,0,0,0,0,08-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,841.9,0,0,0,0,09-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,835.15,0,0,0,0,10-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,825.5,0,0,0,0,11-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,843.25,0,0,0,0,12-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,826.25,0,0,0,0,15-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,825.05,0,0,0,0,16-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,812.95,0,0,0,0,17-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,831.35,0,0,0,0,18-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,900.95,0,0,0,0,19-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,919.9,0,0,0,0,22-JUN-2020,
FUTSTK,GODREJPROP,27-Aug-2020,0,XX,0,0,0,661.85,908.6,0,0,0,0,23-JUN-2020,
