INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,966.25,978.5,966.2,972.95,972.95,35,204.27,28200,4200,01-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,964.2,964.95,941,944.65,944.65,40,229.2,37200,9000,04-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,948.5,950,938.6,941.75,941.75,25,141.52,39600,2400,05-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,935.15,956.95,935.15,949.25,953.65,48,272.77,39600,0,06-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,937,938.8,927,930.4,930.4,40,223.87,46800,7200,07-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,941.6,951.9,939.1,950.6,950.6,30,170.08,48600,1800,08-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,942,947.15,936,944.85,944.85,60,338.69,57000,8400,11-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,944.95,945.95,910,917.05,917.05,260,1444.95,101400,44400,12-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,926.55,946.4,925.75,942.05,942.05,245,1378.94,112200,10800,13-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,931.55,933.5,919.15,922.35,922.35,119,661.49,121800,9600,14-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,922.25,933.95,921.85,923.3,923.3,300,1671.97,223200,101400,15-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,923.75,923.75,897.8,902.25,902.25,203,1113.15,254400,31200,18-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,903.75,907,891,898.45,898.45,154,831.34,263400,9000,19-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,880.5,885.5,870,875.1,875.1,197,1035.79,289800,26400,20-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,886,897.45,871.6,876.95,876.95,462,2452.73,384000,94200,21-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,890.3,908.6,884.5,900.35,900.35,1085,5839.06,722400,338400,22-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,905.5,911.95,903.05,907.55,907.55,3881,21110.55,2140200,1417800,25-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,902.05,918.25,894.45,910,910,6463,35163.06,4662600,2522400,27-JAN-2016,
FUTSTK,INDUSINDBK,25-Feb-2016,0,XX,910.2,920,903.85,909.95,909.95,6677,36581.52,6453000,1790400,28-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,923.7,937.8,920.2,936,936,27,150.12,41400,6600,29-JAN-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,934.5,944,928.05,928.05,928.05,19,106.62,41400,0,01-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,932.45,934,911,915.8,915.8,27,149.74,43200,1800,02-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,898.05,915.95,897,910.05,910.05,27,146.79,48600,5400,03-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,920.25,920.25,906.3,917.7,917.7,22,120.58,54600,6000,04-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,918.3,921.9,917.05,918.35,918.35,22,121.33,56400,1800,05-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,911.95,913.15,886.1,887.65,887.65,62,335.38,70200,13800,08-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,878,882.45,866.35,876.2,876.2,63,330.89,73200,3000,09-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,870.05,872.75,840.5,844,844,110,564.37,97200,24000,10-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,832.05,836.25,805,815.85,815.85,304,1494.12,133800,36600,11-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,817.3,832.5,805,817.6,817.6,195,955.03,153600,19800,12-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,825,835.25,824.5,827.35,827.35,86,428.09,157200,3600,15-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,830.75,841.95,824,838.15,838.15,219,1096.78,198600,41400,16-FEB-2016,
FUTSTK,INDUSINDBK,31-Mar-2016,0,XX,825.1,839.5,818.15,837.65,837.65,325,1612.41,277200,78600,17-FEB-2016,
