INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,INDUSTOWER,25-Feb-2021,0,XX,228.5,229.4,228.5,229.4,233,2,12.82,47600,2800,18-DEC-2020,
FUTSTK,INDUSTOWER,25-Feb-2021,0,XX,230.1,233.3,226.3,226.3,226.3,6,38.6,47600,0,21-DEC-2020,
FUTSTK,INDUSTOWER,25-Feb-2021,0,XX,229.7,229.7,228.65,228.65,234.5,2,12.83,53200,5600,22-DEC-2020,
FUTSTK,INDUSTOWER,25-Feb-2021,0,XX,227.9,235.25,224.95,234.55,234.55,7,44.9,67200,14000,23-DEC-2020,
FUTSTK,INDUSTOWER,25-Feb-2021,0,XX,239,239,237.5,237.75,237.75,3,20,67200,0,24-DEC-2020,
FUTSTK,INDUSTOWER,25-Feb-2021,0,XX,238,238,236.45,236.45,238.6,2,13.28,67200,0,28-DEC-2020,
FUTSTK,INDUSTOWER,25-Feb-2021,0,XX,238.45,238.45,231.85,231.85,236.6,2,13.16,64400,-2800,29-DEC-2020,
FUTSTK,INDUSTOWER,25-Feb-2021,0,XX,234.15,234.15,228.8,231.85,231.85,21,136.12,70000,5600,30-DEC-2020,
FUTSTK,INDUSTOWER,25-Feb-2021,0,XX,232,232.15,229.25,229.35,229.35,8,51.7,78400,8400,31-DEC-2020,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,0,0,0,231.85,237.75,0,0,0,0,01-JAN-2021,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,0,0,0,231.85,243.65,0,0,0,0,04-JAN-2021,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,255.65,260,255.65,260,256.55,3,21.71,8400,8400,05-JAN-2021,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,257.65,258.15,257.65,258.15,263.75,2,14.44,11200,2800,06-JAN-2021,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,259.45,263.75,259.45,263.75,268.55,2,14.64,11200,0,07-JAN-2021,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,268.3,268.3,268.3,268.3,272.85,1,7.51,11200,0,08-JAN-2021,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,0,0,0,268.3,264.5,0,0,11200,0,11-JAN-2021,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,256.8,260.15,256.8,260.15,263.55,2,14.47,16800,5600,12-JAN-2021,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,264.75,264.75,260.1,260.1,260.25,2,14.69,22400,5600,13-JAN-2021,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,256.25,256.25,256.25,256.25,257.8,1,7.17,22400,0,14-JAN-2021,
FUTSTK,INDUSTOWER,25-Mar-2021,0,XX,257.8,260.4,257.8,260.4,260.4,3,21.75,22400,0,15-JAN-2021,
