INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1396.7,1401.25,0,0,0,0,01-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1396.7,1394.6,0,0,0,0,04-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1396.7,1390.3,0,0,0,0,05-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1396.7,1377.05,0,0,0,0,06-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1396.7,1316.2,0,0,0,0,07-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1396.7,1320.3,0,0,0,0,08-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1396.7,1352.55,0,0,0,0,11-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,1337.25,1337.25,1337.25,1337.25,1362,2,12.03,900,900,12-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1337.25,1361.45,0,0,900,0,13-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,1300.95,1300.95,1300.95,1300.95,1328.75,1,5.85,900,0,14-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,1292.8,1292.8,1292.8,1292.8,1279.55,1,5.81,900,0,15-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1292.8,1254.15,0,0,900,0,18-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1292.8,1277.15,0,0,900,0,19-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,1200,1200,1200,1200,1231,2,10.8,1800,900,20-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,0,0,0,1200,1189.4,0,0,1800,0,21-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,1201.45,1201.45,1201.45,1201.45,1211.15,1,5.4,2250,450,22-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,1210.65,1210.65,1210.65,1210.65,1226.5,1,5.44,2700,450,25-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,1284.8,1288.7,1220.45,1238,1222.55,11,62.46,3600,900,27-JAN-2016,
FUTSTK,BEL,31-Mar-2016,0,XX,1216,1238.05,1216,1235.4,1235.4,21,116.3,11250,7650,28-JAN-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1255.75,0,0,0,0,29-JAN-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1256.8,0,0,0,0,01-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1246.3,0,0,0,0,02-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1238.8,0,0,0,0,03-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1243.65,0,0,0,0,04-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1258.7,0,0,0,0,05-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1252,0,0,0,0,08-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1230.15,0,0,0,0,09-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1208.75,0,0,0,0,10-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1143.25,0,0,0,0,11-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1144.45,0,0,0,0,12-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1180.15,0,0,0,0,15-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1252,1134.15,0,0,0,0,16-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,1110,1110,1110,1110,1137.75,2,9.99,900,900,17-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1110,1162.6,0,0,900,0,18-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1110,1147.15,0,0,900,0,19-FEB-2016,
FUTSTK,BEL,28-Apr-2016,0,XX,0,0,0,1110,1174.6,0,0,900,0,22-FEB-2016,
