INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,
FUTSTK,WIPRO,25-Feb-2016,0,XX,557.95,558,556,557.6,557.6,8,44.6,10000,8000,01-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,558.5,559.7,556,556,563.65,17,94.89,10000,0,04-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,555,555.8,553,555.8,555.8,10,55.42,13000,3000,05-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,556.5,556.5,554,554.4,554.4,45,249.7,41000,28000,06-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,553,553,544.85,547.3,547.3,12,65.98,42000,1000,07-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,550.5,554.9,550.5,554.85,554.85,11,60.77,42000,0,08-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,551.3,551.3,534.25,536,536,45,243.21,64000,22000,11-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,533.25,546.5,531,546,546,50,269.37,67000,3000,12-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,549,550,540,545.85,545.85,34,185.22,73000,6000,13-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,541,543.3,534.2,542.85,542.85,62,334.3,80000,7000,14-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,540.95,543.65,536.1,540.2,540.2,66,356.1,95000,15000,15-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,540,547.75,530.25,545.55,545.55,313,1692.9,208000,113000,18-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,549.5,549.5,537.8,541.2,541.2,203,1098.96,339000,131000,19-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,537,543,534.75,540.2,540.2,181,976.71,428000,89000,20-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,541.5,552.5,541.5,549.15,549.15,992,5435.4,905000,477000,21-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,550.75,552.25,545.95,548.1,548.1,583,3196.59,1083000,178000,22-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,547.3,551,546.95,549.3,549.3,3196,17545.81,2286000,1203000,25-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,547.25,556,547.2,553.85,553.85,4259,23543.42,5496000,3210000,27-JAN-2016,
FUTSTK,WIPRO,25-Feb-2016,0,XX,547.3,554.25,546.7,549.8,549.8,2507,13762.86,6675000,1179000,28-JAN-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,559,566.3,559,565.35,565.35,4,22.53,7000,2000,29-JAN-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,564.05,571.85,564.05,568.5,575.45,6,34.14,8000,1000,01-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,573.8,574,568.5,569.25,569.25,10,57.12,13000,5000,02-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,568.5,568.5,559.75,561.7,561.7,22,123.9,17000,4000,03-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,563.25,564.5,562.75,563.9,563.9,10,56.36,20000,3000,04-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,567,567,562,563.2,564.7,112,632.28,120000,100000,05-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,560.2,564.7,549.05,549.45,549.45,15,83.51,125000,5000,08-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,540,543,539,540,540,14,75.68,129000,4000,09-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,538,539.2,532.25,534.3,534.3,16,85.71,131000,2000,10-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,531.75,531.75,517.5,520.05,520.05,55,287.97,160000,29000,11-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,526.25,531.25,511.25,518.45,518.45,193,1001.24,242000,82000,12-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,527.85,529.6,522,528.4,528.4,178,932.17,363000,121000,15-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,529.6,532.3,525,528.9,528.9,172,906.63,511000,148000,16-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,530,530.9,521,530.3,530.3,97,508.75,541000,30000,17-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,536.1,545.45,535,543.55,543.55,268,1445.17,735000,194000,18-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,544.3,551.2,542,550.4,550.4,1598,8731.77,2178000,1443000,19-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,549.2,550.05,539.05,544.65,544.65,3760,20455.25,3360000,1182000,22-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,543.6,546.45,538.95,543,543,2782,15079.27,4382000,1022000,23-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,541.7,545.6,534.25,536.15,536.15,3667,19741.9,6565000,2183000,24-FEB-2016,
FUTSTK,WIPRO,31-Mar-2016,0,XX,534.05,541.7,526,537.2,537.2,2301,12231.35,7188000,623000,25-FEB-2016,
FUTSTK,WIPRO,28-Apr-2016,0,XX,0,0,0,537,538.05,0,0,7000,0,26-FEB-2016,
FUTSTK,WIPRO,28-Apr-2016,0,XX,526.75,526.75,522,525,525,6,31.44,9000,2000,29-FEB-2016,
FUTSTK,WIPRO,28-Apr-2016,0,XX,533.95,534,533.95,534,542.55,2,10.67,9000,0,01-MAR-2016,
FUTSTK,WIPRO,28-Apr-2016,0,XX,536.85,540,533.1,540,540,9,48.36,14000,5000,02-MAR-2016,
FUTSTK,WIPRO,28-Apr-2016,0,XX,544.95,547.95,540,542,542,12,65.15,20000,6000,03-MAR-2016,
FUTSTK,WIPRO,28-Apr-2016,0,XX,542.4,542.4,540.1,540.1,543.6,2,10.82,19000,-1000,04-MAR-2016,
FUTSTK,WIPRO,28-Apr-2016,0,XX,538,541.05,536.5,541.05,541.05,29,156.07,29000,10000,08-MAR-2016,
FUTSTK,WIPRO,28-Apr-2016,0,XX,540.75,540.75,535.75,538,544.2,17,91.53,35000,6000,09-MAR-2016,
